#time flow_seqno path
 #This first chunk is just fully-observed routes, the chunk after the next commented line
 #contains routes with inferred packets, and then the chunk
 #after the last commented line are the scores (for the bottom half of the figure).
 #These are grouped this way for greater ease in formatting
 #the various data-groups.
 51867 9336.937 13
 51868 9336.763 13
 51875 9337.778 13
 51881 9338.710 13
 51883 9338.770 13
 51887 9339.691 13
 51891 9340.707 13
 51894 9340.662 13
 51895 9340.672 13
 51896 9340.692 13
 51897 9340.691 13
 51899 9341.639 13
 51900 9341.641 13
 51902 9341.644 13
 51903 9341.694 13
 51904 9341.655 13
 51905 9342.639 13
 51906 9342.642 13
 51907 9342.644 13
 51908 9342.647 13
 51909 9342.650 13
 51911 9342.653 13
 51912 9343.597 13
 51914 9343.603 13
 51919 9344.552 13
 51921 9344.554 13
 51923 9344.626 13
 51924 9344.629 13
 51927 9345.526 13
 51933 9346.577 13
 51934 9346.580 13
 51935 9346.583 13
